tmdb_id,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49
680,0.011904,-0.017873,-0.101045,0.101906,-0.098726,0.031101,0.088728,-0.009531,0.061621,0.033837,-0.017705,-0.103097,0.006578,0.064650,0.023942,-0.002746,0.044446,0.027231,0.011586,0.070887,-0.145068,0.012745,0.091257,0.175159,-0.062856,-0.109471,-0.008748,0.024121,-0.047172,-0.001489,0.007237,0.011685,0.102268,-0.034841,-0.008846,0.017944,0.052857,-0.019088,-0.135239,0.041829,-0.105878,-0.093607,-0.047689,0.077451,-0.038112,-0.164910,-0.251742,0.342365,-0.127661,0.750619
872,-0.006968,0.063585,-0.021426,0.124066,0.058817,0.008429,0.031752,-0.006272,0.093804,-0.093739,0.064805,-0.011634,-0.042308,0.099944,-0.100536,0.076116,0.027309,-0.007217,0.098509,-0.056631,0.152902,-0.085897,0.033094,0.120083,-0.048343,-0.070325,-0.036700,-0.026805,0.188442,0.126935,-0.044938,-0.205535,0.058147,-0.093453,0.073258,-0.001785,-0.083470,-0.089276,-0.032403,-0.007773,-0.010647,0.164294,-0.099006,-0.459011,0.193082,-0.041901,-0.097966,-0.257439,-0.261852,0.544110
826,-0.050499,-0.014144,-0.034499,0.008097,-0.074085,0.012522,-0.046725,-0.030323,0.060775,-0.077632,0.090464,-0.011181,0.017776,-0.010587,-0.062889,0.100645,-0.060269,-0.127020,0.054650,-0.080006,0.040779,-0.104720,-0.073922,0.099517,-0.130290,0.066637,-0.008364,-0.050909,0.013597,-0.045831,0.054351,-0.109621,-0.008724,-0.069890,-0.048568,-0.084798,-0.023581,-0.092601,-0.048427,0.058378,-0.013457,0.357166,0.054986,-0.184381,0.310311,-0.030756,-0.198675,-0.239827,-0.344780,0.590726
782,0.032802,-0.002366,0.016163,0.047329,-0.010017,0.069873,-0.008977,-0.088140,0.080094,-0.045793,-0.040927,0.090521,-0.045363,0.001881,-0.001563,0.038560,0.031418,-0.003117,-0.062892,0.131285,0.055520,-0.137572,-0.096436,-0.095727,-0.031611,-0.063574,-0.017545,0.081195,-0.050769,-0.003222,0.129784,-0.013776,0.050099,-0.069391,0.118583,0.008698,0.092387,0.076767,0.272314,-0.177918,-0.099059,-0.086319,-0.058656,0.160469,0.001119,0.055779,-0.026912,-0.170722,-0.030582,0.803342
165,0.076716,0.059524,0.074170,0.099171,0.094576,0.130710,-0.075854,0.012431,0.085825,0.071311,0.012833,-0.109664,-0.048766,0.049955,-0.118411,0.008236,0.024825,0.002319,-0.038774,0.008543,-0.049651,-0.014157,0.002095,-0.078592,0.156365,-0.135540,0.049634,-0.020960,-0.122462,-0.092626,-0.023875,-0.052302,0.074611,0.060263,0.064519,-0.095436,-0.021332,-0.090209,0.187806,0.111270,0.027154,-0.103043,-0.070669,0.050910,0.041263,0.221363,0.169000,-0.145277,-0.055576,0.784173
196,0.032605,0.007350,0.074906,0.064018,0.088112,0.136498,-0.071983,0.033161,0.094758,0.072825,0.020194,-0.121840,-0.059133,0.053107,-0.107143,0.037450,0.032375,-0.027584,-0.029357,0.015643,-0.029202,-0.055156,0.013236,-0.110206,0.124059,-0.133424,0.032540,-0.021012,-0.105270,-0.125072,-0.037935,-0.067329,0.070537,0.003871,0.045436,-0.104821,-0.006397,-0.103578,0.184614,0.073416,0.023696,-0.099495,-0.060367,0.081518,-0.000605,0.243685,0.204426,-0.132257,-0.095938,0.777392
34584,0.056319,0.070783,0.063246,0.070575,-0.008760,0.009567,0.038503,0.013062,-0.013011,0.031006,-0.030099,0.043006,-0.094802,0.100019,-0.012224,-0.074632,0.080433,0.042096,-0.007267,0.066687,0.042843,0.103873,0.027081,-0.007096,0.123831,-0.037427,-0.107228,0.103446,0.114172,-0.107515,0.063402,0.001438,0.026322,0.043694,0.088496,0.031901,-0.201985,-0.129068,0.050940,-0.034149,-0.081080,-0.160788,-0.155674,-0.035052,-0.005925,0.159958,0.225982,-0.288561,-0.213374,0.722963
65749,0.060461,0.006135,0.003032,-0.063728,-0.083304,-0.148264,-0.104685,0.079541,0.097979,0.092910,-0.097195,0.050627,0.031704,0.027030,-0.130593,-0.045621,0.035738,0.026907,0.025886,0.039607,-0.055241,-0.003251,0.011806,0.171131,-0.002936,-0.119306,0.090144,0.005407,-0.032010,0.027831,-0.231373,-0.073878,-0.105470,-0.124849,0.112132,0.054141,0.045376,0.157230,0.013564,-0.330387,-0.246858,0.088023,0.134796,-0.275755,0.035626,-0.259856,-0.055202,-0.353237,-0.295761,0.386877
104,-0.046305,0.048805,0.011026,-0.015921,0.049742,-0.016036,0.029105,0.009167,0.040396,-0.053105,0.011731,0.071816,0.068131,-0.041577,0.013743,-0.047106,0.025438,-0.002523,0.020927,-0.089873,0.081479,0.068647,-0.042323,0.030480,0.041140,0.030676,-0.007154,-0.056004,0.076185,0.005633,-0.002891,0.003301,0.049544,-0.135358,-0.060870,0.037471,0.188547,0.145845,0.114240,-0.132215,-0.152840,-0.079421,-0.124689,0.047132,-0.174918,-0.119878,-0.252208,-0.264370,-0.106692,0.766466
801,0.066533,-0.007433,0.033036,0.045142,-0.067539,-0.024758,-0.038871,-0.052089,0.027379,-0.046936,0.049615,0.060789,-0.074117,-0.005252,-0.013005,-0.034598,-0.014951,-0.023082,-0.076767,0.021674,-0.153546,0.130699,0.009548,0.062310,0.068393,0.018468,0.039715,-0.018930,-0.022878,-0.178799,0.110688,0.042779,0.077699,0.084501,-0.000981,-0.115702,-0.161192,0.058923,0.105011,0.112008,-0.012165,0.054426,0.150188,-0.069952,-0.047257,0.016416,0.112162,-0.320665,-0.258105,0.753016
